film_id,film_rating
"646	","	4.2"
"647	","	6.1"
"648	","	0"
"649	","	8"
"650	","	7.8"
"651	",
"652	","	7.2"
"653	","	5.8"
"654	","	7"
"655	","	8"
"656	","	0"
"657	","	4.7"
"658	","	4.4"
"659	","	5.7"
"660	",
"661	","	5.9"
"662	","	6.1"
"663	","	6.1"
"664	","	5"
"665	","	0"
"666	","	6.3"
"667	","	7.8"
"668	","	3.9"
"669	","	6.7"
"670	","	6.6"
"671	","	5.7"
"672	","	6.8"
"673	","	5.7"
"674	","	6.7"
"675	","	5.6"
"676	","	6.7"
"677	","	5.4"
"678	","	0"
"679	","	8"
"680	","	7"
"681	","	5.1"
"682	","	6.3"
"683	","	5.8"
"684	","	6.7"
"685	","	6.9"
"686	","	5.7"
"687	","	6.2"
"688	","	6.6"
"689	","	5.7"
"690	","	7"
"691	","	6.2"
"692	","	5.2"
"693	","	5.2"
"694	","	3.6"
"695	","	5.4"
"696	","	6"
"697	","	4"
"698	","	7"
"699	","	5.8"
"700	","	6"
"701	","	6.5"
"702	","	5"
"703	","	5"
"704	","	6.5"
"705	","	7.2"
"706	","	6.4"
"707	","	5.4"
"708	","	5.4"
"709	","	6.3"
"710	","	5.3"
"711	","	6.9"
"712	","	6.7"
"713	","	5.2"
"714	","	5"
"715	","	5"
"716	","	7"
"717	","	0"
"718	","	7.5"
"719	","	5"
"720	","	6.8"
"721	","	5.6"
"722	","	6.6"
"723	","	5.9"
"724	","	6"
"725	","	5"
"726	","	8.5"
"727	","	6.3"
"728	","	6.4"
"729	","	6.9"
"730	","	4.9"
"731	","	6.1"
"732	","	6.1"
"733	","	4.7"
"734	","	6.3"
"735	","	0"
"736	","	5.2"
"737	","	7.7"
"738	","	5.8"
"739	","	4.6"
"740	","	5.3"
"741	","	6.6"
"742	","	5"
"743	","	5.4"
"744	","	5.4"
"745	","	6.8"
"746	","	6.1"
"747	","	5"
"748	","	7"
"749	","	7.1"
"750	","	7.5"
"751	","	6.1"
"752	","	7.7"
"753	","	7.9"
"754	","	6.9"
"755	","	7"
"756	","	7.6"
"757	","	8"
"758	","	8.2"
"759	","	7.7"
"760	","	7.2"
"761	","	7.2"
"762	","	7.8"
"763	","	8.1"
"764	","	8"
"765	","	7.7"
"766	","	7.9"
"767	","	7.8"
"768	","	7.4"
"769	","	7.4"
"770	","	7.8"
"771	","	7"
"772	","	6.8"
"773	","	7.4"
"774	","	7.7"
"775	",
"776	","	8.2"
"777	","	8"
"778	","	7.9"
"779	","	4.8"
"780	","	8"
"781	","	6.4"
"782	","	7.7"
"783	","	7"
"784	","	7.8"
"785	","	7.3"
"786	","	7.1"
"787	","	7.1"
"788	","	6.6"
"789	","	7.1"
"790	","	7.3"
"791	","	7.3"
"792	","	6.1"
"793	","	7.6"
"794	","	7.1"
"795	","	7.6"
"796	","	7.3"
"797	","	6.8"
"798	","	7.4"
"799	","	7.7"
"800	","	7.7"
"801	","	7.5"
"802	","	7.5"
"803	","	7.4"
"804	","	7.5"
"805	","	6.5"
"806	","	8"
"807	","	7.9"
"808	","	7.6"
"809	","	6.4"
"810	","	8.3"
"811	","	5"
"812	","	6.4"
"813	",
"814	","	6.6"
"815	","	5.6"
"816	","	6.2"
"817	","	6.6"
"818	","	7.4"
"819	","	5.2"
"820	","	4.9"
"821	","	7.5"
"822	","	7.4"
"823	","	6.2"
"824	","	7.6"
"825	","	5.1"
"826	","	7.3"
"827	","	5.8"
"828	","	3.8"
"829	","	6.2"
"830	","	6"
"831	","	4"
"832	",
"833	","	6.7"
"834	","	0"
"835	","	5.3"
"836	","	0"
"837	","	6.6"
"838	","	4.8"
"839	",
"840	","	5.3"
"841	","	6.8"
"842	","	4.9"
"843	","	0"
"844	","	6.8"
"845	","	6.2"
"846	","	6.5"
"847	","	6.9"
"848	","	5.9"
"849	","	6.2"
"850	","	6"
"851	","	3"
"852	","	5.7"
"853	","	4.7"
"854	","	5.3"
"855	","	5.9"
"856	","	6.6"
"857	","	5.9"
"858	","	6.5"
"859	","	6"
"860	","	5.9"
"861	","	7"
"862	","	6.8"
"863	","	6.9"
"864	","	6.6"
"865	","	6.2"
"866	","	7"
"867	","	6.4"
"868	","	6.9"
"869	","	6.8"
"870	","	5.7"
"871	","	6.8"
"872	","	7.8"
"873	","	6.2"
"874	","	6.9"
"875	","	6.3"
"876	","	6.6"
"877	","	7.4"
"878	","	6.8"
"879	","	6.4"
"880	","	6.8"
"881	","	7"
"882	","	7"
"883	","	6.5"
"884	","	7.4"
"885	","	7.5"
"886	","	5.4"
"887	","	6.2"
"888	","	0"
"889	","	5"
"890	","	7.1"
"891	","	6.8"
"892	","	5.1"
"893	","	5.3"
"894	","	5.5"
"895	","	7.3"
"896	","	6.4"
"897	","	6.4"
"898	","	6.9"
"899	","	6.7"
"900	","	0"
"901	","	6.8"
"902	","	7"
"903	","	4"
"904	","	6.6"
"905	","	6.5"
"906	","	6.7"
"907	","	6.8"
"908	","	7.3"
"909	","	6.1"
"910	","	6"
"911	","	6.1"
"912	","	5.2"
"913	","	7.9"
"914	","	7"
"915	","	6.1"
"916	","	7.2"
"917	","	5.6"
"918	","	7.4"
"919	","	7.4"
"920	","	7.5"
"921	","	7"
"922	","	6.7"
"923	","	7.1"
"924	","	7.7"
"925	",
"926	","	6.9"
"927	","	7.2"
"928	","	7.6"
"929	","	6"
"930	","	7.9"
"931	","	4.8"
"932	","	7.1"
"933	","	8.1"
"934	","	7.5"
"935	","	6.4"
"936	","	6.5"
"937	","	6.7"
"938	","	6.9"
"939	","	7.5"
"940	","	7.4"
"941	","	7.3"
"942	","	6.3"
"943	","	7"
"944	","	5.9"
"945	","	6.7"
"946	","	6.8"
"947	","	7.6"
"948	","	7.6"
"949	","	4.6"
"950	","	0"
"951	","	5.4"
"952	","	6.2"
"953	","	7.3"
"954	","	8"
"955	","	5.2"
"956	","	0"
"957	","	6.8"
"958	","	5.8"
"959	","	5.3"
"960	","	7.3"
"961	","	6.7"
"962	","	5.9"
"963	","	7.1"
"964	","	6.4"
"965	","	6.9"
"966	","	6.4"
"967	","	6"
"968	","	7.8"
"969	","	6.8"
"970	",
"971	","	4"
"972	","	5"
"973	","	8"
"974	","	0"
"975	","	0"
"976	","	7.3"
"977	","	7.6"
"978	","	6.4"
"979	","	7.2"
"980	","	6.4"
"981	","	4.7"
"982	","	8"
"983	","	0"
"984	","	3.5"
"985	","	6.8"
"986	","	0"
"987	","	5.1"
"988	","	5.7"
"989	",
"990	","	5.8"
"991	","	6.5"
"992	","	7.3"
"993	","	6.9"
"994	","	8.2"
"995	","	6.5"
"996	","	4.1"
"997	","	5"
"998	","	7"
"999	","	7.5"
"1000	","	6.7"
"1001	","	6.7"
"1002	","	6.2"
"1003	","	7.9"
"1004	","	6.3"
"1005	","	8.2"
"1006	","	8.3"
"1007	","	6.7"
"1008	","	8.2"
"1009	","	7.6"
"1010	","	7.7"
"1011	","	7.6"
"1012	","	7.7"
"1013	","	7.4"
"1014	","	8.2"
"1015	","	7.8"
"1016	","	8"
"1017	","	7.9"
"1018	","	8"
"1019	","	7.9"
"1020	","	7.9"
"1021	","	8.2"
"1022	","	7.9"
"1023	","	7.3"
"1024	","	8.3"
"1025	","	7.5"
"1026	","	8.3"
"1027	","	7.9"
"1028	","	7.4"
"1029	","	7.4"
"1030	","	7.8"
"1031	","	7.3"
"1032	","	8.3"
"1033	","	7.7"
"1034	","	7.8"
"1035	","	7.4"
"1036	","	7.9"
"1037	","	7.7"
"1038	","	6.5"
"1039	","	7"
